block_number,reserveA,reserveB,total_reserveA,total_reserveB
18194476,791868741095706171285,2444687616294334222466,831297971206976464134,2566415051121051410014
18194832,791574453375742164202,2444163771491826771697,830998983184285245982,2565895855006150003577
18195074,791390322776168384620,2443909340940300979839,830811014562896148975,2565645220330325976954
18195282,789647063618446466821,2445633457488486830745,828981768461815803674,2567457845417650341473
18195367,790583654652117080838,2444642318556135095486,829965809829839101703,2566419795963972684115
18196122,791453529317749739095,2443448864379353455729,830883092047200449610,2565179473575450615312
18196797,791280585886238841843,2442371398254276688890,830716794766673909944,2564095436911536743061
18196824,791413939735254484268,2442239561555068693965,830856794766673909955,2563957029673760244638
18196844,791552056221734971043,2442103016407999148627,831001794766673909944,2563813679326313625364
18196877,791694935345680302193,2441961762813666115251,831151794766673909936,2563665385869824754126
18197404,785927016832534714917,2435450123261191539211,825280474856158177213,2557399594575536484143
18197420,811449060177596365128,2410218521214851956360,852080474856158177211,2530904579043296880969
18197472,819067580579107305489,2402686738115713937909,860080474856158177210,2522995659513311210539
18197585,822875888464812586802,2398921794658505495502,864079474856158177208,2519042195314187442276
18197615,823119905828946583784,2398680556020968174799,864079471661528619632,2518042162331206696712
18197626,823364067994963891053,2398439174248596559875,864079471312532208184,2517042137516097834102
18198209,822813131104524698055,2398984055308345624895,863501290559300479655,2517613962977442916932
18198438,842733579326047670609,2379290508695113621095,884431088580554765915,2497015125868688424143
18198478,842563075854706215551,2379459136998285446597,884252148789303201678,2497192097710559279733
18198556,842513025782695453423,2379508636629799294363,884199622296046087303,2497244046528143052460
18198951,855485039100927552767,2366316310756376487064,897818327494703203561,2483412398046719746783
18198951,855485039100927552767,2366316310756376487064,897818327494703203561,2483412398046719746783
18199047,857200166786813152241,2364620731387249251703,899618327494703203559,2481632913703049372615
18199121,831954794402298973118,2389588443901566200525,873123699330233982928,2507836142124824246214
18199121,831954794402298973118,2389588443901566200525,873123699330233982928,2507836142124824246214
18199213,832617041171710868707,2387811825405580227870,873833113083014003197,2506012893892094656376
18199283,830090353772756254013,2390310733116721065207,871181350019758614215,2508635502121996374982
18199350,830374298011712552858,2390030022926114348366,871479350019758614214,2508340896261675763810
18199691,844403999901067791694,2375149613992596551606,886294211767618298917,2492978900159600304181
18199752,849937637708787264729,2368984448492010353566,892111494774256373205,2486533321595630856462
18199979,851298367743803606961,2361985991256838123410,893614285826269570175,2479394422313569746171
18200685,848718050797208027831,2357610584546884486156,890971271928737580505,2474983652407669830778
18200704,848493961542154189031,2357832208614761567831,890736026444782876756,2475216309975705514538
18200768,845484340917551540838,2357388683204641988741,887621649716361840515,2474876388293554413365
18200778,845003731915564226297,2357864005428286434899,887117088088704073298,2475375399660033731175
18201249,847807035420160340340,2348410025653304728938,890148713052010204374,2465695700458229778500
18202520,842085733015455468356,2338714708468110935750,884345270390561136524,2456081619884960139972
18203729,846408563718976096625,2332785195419617889702,888607792731776933926,2449090418356691525427
18203766,846349448213257770700,2332843660509984736606,888545729915656815518,2449151798329827048830
18203803,848470708838945477380,2331616152835919051759,890761147319741007110,2447831207103695245231
18204137,841543100125294339911,2311618331766407538057,883846461560567004145,2427820610383577458882
18204254,842139961525453070691,2309701219502097402708,884491205000972220584,2425856161877291086039
18204344,840259553560890473350,2311560937137986344721,882516231264472806115,2427809404767878286363
18204426,839231527754290541913,2311627527442015348502,881449270097969557124,2427914502037988351675
18204556,834583622272408076798,2316224297367194306273,876567550621280479504,2432742513571586954226
18204615,834313447160818527933,2315502553317437770874,876258177198574963733,2431913393669043221614
18204624,833289972508667998965,2316514768761257578042,875183247822626047107,2432976497785070760544
18204787,833103819686604075036,2316698873757786656886,874987736251888217723,2433169858576774055001
18204792,834055951682482441545,2315757592691817300726,875987736251888217722,2432181255032261300846
18204913,838323602220793341881,2311474803574063162568,880470796974207663179,2427685510818576127961
18204983,838244899051597249265,2311552640822244642135,880388136958525283768,2427767261378573574544
18205046,839376707694918176750,2310393468574825691201,881577389018861581881,2426551300459391297533
18205060,834584611765037427891,2315132842043905867449,876544364657971562497,2431528951673863116064
18205335,834506788616522376441,2315209809044045632524,876462628856341405444,2431609788283220746975
18205568,834247259440965175504,2314997392023195424189,876196317323476083494,2431404079005803209946
18205573,832534951950164407265,2316690862618203620939,874397908637578322058,2433182703606663260603
18205612,829242599536733167066,2319946998810669721569,870940004488258610657,2436602570448604470409
18205916,828924195300623078846,2319406170122101452394,870616951801268274972,2436066339079920429231
18205980,828714608580575621313,2319404150132155762687,870399602679894636250,2436071996108463737876
18206055,832237408961351756726,2315921494260186633166,874099602679894636248,2432414159917516465687
18206471,831144908390053613762,2316474713020906201407,872402966869517590933,2431464588085103630600
18206475,831151577343025664528,2316468120066501235617,872409966869517590932,2431457667856241892389
18206492,830250053594600170587,2317736907207215551629,871460243640709574358,2432779812666068510522
18206590,827974413974521605607,2319987515585178637405,869071650650963796876,2435142131966028732809
18206968,829803723753561839015,2317807325187455009303,870996638698750770037,2432867353568501270303
18207041,829486313525736599436,2317823065205432512995,870667384170694168652,2432894807601065730248
18207173,828773683982023201100,2318527856029533302633,869654935575782621681,2432894808602244241867
18207527,827508983315119124478,2316716011430713730756,868367725587510805433,2431105225732843576401
18207610,824944106542937681136,2316657110043693244934,865709956542142091820,2431138194881549508622
18208096,825746696746614042231,2318921885565307688366,866430025994697384771,2433171767451288725959
18208202,825730973601155598021,2317394140920734719265,866433563485663864225,2431624981635472583059
18208759,810207320952246063520,2332382173797860507879,850149357218197817466,2447365204637919313023
18210017,810035171516931153205,2330484747120725299384,850088132387170079280,2445717785965587409731
18210205,811559785524643008801,2328977498607728746971,851688132387170079278,2444136010113735034699
18210400,811465965090753319506,2329070287509088020271,851589672912533090753,2444233387050732779966
18210406,811466155667504283487,2329070099103063667157,851589872912533090751,2444233189328793036411
18210556,809933004859424490544,2330586393685474241141,849980914001936959579,2445824458541580850237
18210627,809792900185510654257,2330724958015233780380,849833881718927459255,2445969874316651679523
18210727,808887568740699785466,2331620336178273983811,848883785298213505647,2446909525306094169718
18211004,806982282989425585348,2333504675911203025644,846884290877580540220,2448887038012547196188
18211464,787126863208771961181,2353141879884156701139,825938893070572914710,2469171731208001741005
18211921,789727143862306589177,2350300157011659784409,828670760515659756828,2466199919412300369237
18211936,759543114372759299432,2380152667475147149730,796998273547310918202,2497524539239972088863
18212243,759422478675381612268,2379979224060761063455,796875190475480519646,2497353516331443982469
18212563,754776425369712247588,2384588715633073629772,791999834396831228602,2502189793435660868134
18213641,752014098783393608976,2387320721134544761140,788988381297122531320,2504698135915610478925
18213825,751532241297101918190,2387797289685241957719,788482832320394255028,2505198135915610478924
18214930,751148853218191931390,2386966300428990839639,788094873911586941111,2504371666825082670063
18215243,750869377402385359346,2387242708720248875508,787801651793393225927,2504661670539411502974
18215632,752350313852890022024,2384006188929708147272,789376399220268482272,2501332406573753436550
18215719,752001813215288050109,2384350864253364427793,789010747510724564533,2501694044710773042977
18215834,751993591135833578048,2384358996083700150240,789002120790758653570,2501702576740110027979
18216037,751822654684154712657,2384528056267355034131,788822771891399868703,2501879957032997237360
18216066,750834303739908916971,2385505558848696686771,787785780352791631563,2502905566318565859743
18216095,748968570232934112782,2387350814476143537882,785828226842780934263,2504841634152944071282
18216346,748854301301696300067,2387367259763016074480,785793059014912943333,2505128993424106061084
18216827,748622104837820226954,2387596907772469584498,785549408989367964977,2505369969287543690930
18217034,742841659249585605988,2393313915957293559037,779483831194925707644,2511368980499948073265
18217526,742748513391847591244,2393406039672894061006,779386090728777227088,2511465648404724350900
18217889,742738558949622061109,2393406089695246319057,779375759991012775246,2511466070593317849577
18218104,646383492325062485161,2488705250520852033387,678267769333166234486,2611466070593317849576
18218122,646261561530319308472,2488825846977355097720,678139824035760829230,2611592615733336188064
18218232,645918209735000808822,2488814897804506792221,677783106628979909588,2611594885907453045572
18219118,608183859710527338082,2343424615671093092180,640048696604393236611,2466204663117553162246
18220091,607376157596472362808,2344354010481553987624,638995995165033943407,2466400442643090626697
18220099,613145791998732429748,2338649801227175350105,645065995165033943405,2460399273806376243815
18220111,609527698275854343068,2342228297301930261944,641259544467002339744,2464164065413493262149
18220210,609209360532461216728,2342250562454795633816,640927785314114107688,2464199605096020773831
18220486,604212014601197889388,2347193223308882711552,635670253063832083977,2469399605096020774008
18220828,487588269884328698942,2386379244643693653541,513936941944110962911,2515336252043203531550
18220864,428641770002535606492,2444683374054077704237,451805045508734210299,2576791065094787070679
18221287,380691478420315254496,2492112000256511356090,401263578982189240600,2626782676084263249911
18221445,380566608616210779811,2492107590316437341685,401132878477953934156,2626784033458178316179
18221526,382132012346264931380,2490559823932767650567,402782878477953934154,2625152623947632019627
