blockNumber,fee_in_ETH,fee_in_stETH
18207568,0.006106528661545013,0
18208019,0,0.006001580172403289
18208048,0.0024623708916062742,0
18208080,0,0.00858100703004324
18208289,0.0002982258586877145,0
18208457,3.99910351169993e-05,0
18208653,3.0105314419535625e-05,0
18208681,1.0031342313708157e-05,0
18208693,1.0031341494895786e-05,0
18208698,1.0031340676083473e-05,0
18208704,1.0031339857271223e-05,0
18209504,0,0.0010002214214527784
18209721,3.011779259257196e-08,0
18209785,0,1.000222229335554e-06
18209831,0.004998787447256126,0
18209851,0.000120147754690608,0
18209893,0,0.030004254290625705
18209950,0.0016505686645985848,0
18210052,5.999800497525797e-06,0
18210285,0.0006247477452599488,0
18210373,7.07415039564209e-05,0
18210403,0.0050160781163088265,0
18210494,0.00109990949846877,0
18210503,4.301623423179743e-05,0
18210565,0.000300128262653315,0
18210643,1.0080458869425642e-06,0
18210830,0.0023257697056525066,0
18210924,3.3576878970811065e-06,0
18210999,0,0.0004900521920704449
18211010,0.008370889958638604,0
18211016,0,0.0004900836164360871
18211196,0.030582194695605577,0
18211196,0,0.01043232272506986
18211404,0.0006497821036158783,0
18211445,0,0.0004285839088987317
18211503,0,0.0011603825363441802
18211569,0,0.014913941691518239
18211592,0,1.2002444204392867e-06
18211611,0,0.006351129277577059
18211666,0.000425787417929032,0
18211721,6.498989454265928e-06,0
18211861,5.515291743825218e-05,0
18211881,1.044413373510666e-06,0
18211962,0.10032436912682925,0
18211962,0,0.07335630947991013
18211982,0,0.013854425260049503
18211994,0.0004998674464595745,0
18212129,0,0.013716899298972943
18212323,0,0.0016502456750822092
18212332,0.0028124431957800844,0
18212518,0.0034129135719448245,0
18212530,0.004550404000985997,0
18212787,2.5574498326616648e-05,0
18212917,0,8.110730901291702e-06
18213066,0.00019995324813775134,0
18213801,0.0005258754896828248,0
18213826,0.00499869031650838,0
18214168,0.0010002459439242884,0
18214700,0,0.00010001735106536238
18214706,0,5.0008644959805194e-05
18214731,5.16150890243282e-06,0
